,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
127,RJ Hadlee ,1973-1990,115,98,17,1751,79,21.61,2319,75.50,0,4,4,123+,25+,NEW ZEALAND
128,LJ Hamilton ,2005-2005,2,2,2,3,2*,-,6,50.00,0,0,0,0,0,NEW ZEALAND
129,CZ Harris ,1990-2004,250,213,62,4379,130,29.00,6583,66.51,1,16,12,275,43,NEW ZEALAND
130,MN Hart ,1994-2002,13,8,0,61,16,7.62,101,60.39,0,0,1,3,1,NEW ZEALAND
131,RG Hart ,2002-2002,2,1,0,0,0,0.00,9,0.00,0,0,1,0,0,NEW ZEALAND
132,RT Hart ,1985-1985,1,1,0,3,3,3.00,29,10.34,0,0,0,0,0,NEW ZEALAND
133,BR Hartland ,1992-1994,16,16,1,311,68*,20.73,623,49.91,0,2,1,28,0,NEW ZEALAND
134,MJ Haslam ,1992-1992,1,1,0,9,9,9.00,18,50.00,0,0,0,0,0,NEW ZEALAND
135,BF Hastings ,1973-1975,11,9,1,151,37,18.87,271,55.71,0,0,1,14+,0+,NEW ZEALAND
136,RL Hayes ,1995-1995,1,1,0,13,13,13.00,25,52.00,0,0,0,1,0,NEW ZEALAND
137,MJ Henry ,2014-2021,55,21,7,211,48*,15.07,211,100.00,0,0,3,19,9,NEW ZEALAND
138,PA Hitchcock ,2002-2008,14,7,3,41,11*,10.25,61,67.21,0,0,1,3,1,NEW ZEALAND
139,GJ Hopkins ,2004-2010,25,17,1,236,45,14.75,311,75.88,0,0,3,19,2,NEW ZEALAND
140,MJ Horne ,1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3,99,5,NEW ZEALAND
141,PA Horne ,1987-1987,4,4,0,50,18,12.50,122,40.98,0,0,1,3,0,NEW ZEALAND
142,JM How ,2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3,117,7,NEW ZEALAND
143,GP Howarth ,1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1,116+,3+,NEW ZEALAND
144,HJ Howarth ,1973-1975,9,5,2,18,11,6.00,26,69.23,0,0,1,1+,0+,NEW ZEALAND
145,LG Howell ,1998-1998,12,12,0,287,68,23.91,388,73.96,0,4,1,31,4,NEW ZEALAND
146,PJ Ingram ,2010-2010,8,7,0,193,69,27.57,238,81.09,0,1,0,30,0,NEW ZEALAND
147,KA Jamieson ,2020-2021,5,1,1,25,25*,-,24,104.16,0,0,0,1,2,NEW ZEALAND
148,AH Jones ,1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,199,8,NEW ZEALAND
149,RA Jones ,2003-2003,5,5,0,168,63,33.60,329,51.06,0,1,0,14,2,NEW ZEALAND
150,RJ Kennedy ,1996-1996,7,4,3,17,8*,17.00,15,113.33,0,0,0,2,0,NEW ZEALAND
151,CM Kuggeleijn ,1988-1989,16,11,2,142,40,15.77,223,63.67,0,0,1,7,1,NEW ZEALAND
152,SC Kuggeleijn ,2017-2017,2,1,1,11,11*,-,6,183.33,0,0,0,1,0,NEW ZEALAND
153,GR Larsen ,1990-1999,121,70,27,629,37,14.62,970,64.84,0,0,6,29,9,NEW ZEALAND
154,RT Latham ,1990-1994,33,33,4,583,60,20.10,1008,57.83,0,1,3,50,1,NEW ZEALAND
