,index,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played,Not Out when scored highest,HS Numeric,100's per innings,50's per innings,0's per innings,4s numeric,6s numeric,boundaries,4s per Inns,6s per Inns,Boundary Ave per Inns,boundaries per innings,runs scored by boundaries,boundaries to runs ratio,runs without boundaries,BF without boundaries,Strike Rate without boundaries,Avg runs per year
540,1290,PAJ DeFreitas ,1987-1997,103,66.0,23.0,690.0,67,16.04,823.0,83.83,0.0,1.0,4.0,46,10,ENGLAND,1987,1997,10,0.6407766990291263,0.3484848484848485,10.454545454545455,0,67,0.0,0.015151515151515152,0.06060606060606061,46,10,56,0.696969696969697,0.15151515151515152,3.6969696969696972,0.8484848484848485,244,0.3536231884057971,446.0,767.0,58.148631029986966,69.0
541,1291,JL Denly ,2009-2020,16,13.0,0.0,446.0,87,34.3,629.0,70.9,0.0,4.0,0.0,44,6,ENGLAND,2009,2020,11,0.8125,0.0,34.30769230769231,0,87,0.0,0.3076923076923077,0.0,44,6,50,3.3846153846153846,0.46153846153846156,16.307692307692307,3.8461538461538463,212,0.47533632286995514,234.0,579.0,40.41450777202073,40.54545454545455
542,1294,GR Dilley ,1979-1988,36,18.0,8.0,114.0,31*,11.4,133.0,85.71,0.0,0.0,2.0,11,0,ENGLAND,1979,1988,9,0.5,0.4444444444444444,6.333333333333333,1,31,0.0,0.0,0.1111111111111111,11,0,11,0.6111111111111112,0.0,2.4444444444444446,0.6111111111111112,44,0.38596491228070173,70.0,122.0,57.377049180327866,12.666666666666666
543,1296,PR Downton ,1977-1988,28,20.0,5.0,242.0,44*,16.13,358.0,67.59,0.0,0.0,2.0,13,0,ENGLAND,1977,1988,11,0.7142857142857143,0.25,12.1,1,44,0.0,0.0,0.1,13,0,13,0.65,0.0,2.6,0.65,52,0.21487603305785125,190.0,345.0,55.072463768115945,22.0
544,1298,MA Ealham ,1996-2001,64,45.0,4.0,716.0,45,17.46,1092.0,65.56,0.0,0.0,4.0,51,13,ENGLAND,1996,2001,5,0.703125,0.08888888888888889,15.911111111111111,0,45,0.0,0.0,0.08888888888888889,51,13,64,1.1333333333333333,0.28888888888888886,6.266666666666667,1.4222222222222223,282,0.39385474860335196,434.0,1028.0,42.217898832684824,143.2
545,1299,PH Edmonds ,1977-1987,29,18.0,7.0,116.0,20,10.54,232.0,50.0,0.0,0.0,3.0,7,0,ENGLAND,1977,1987,10,0.6206896551724138,0.3888888888888889,6.444444444444445,0,20,0.0,0.0,0.16666666666666666,7,0,7,0.3888888888888889,0.0,1.5555555555555556,0.3888888888888889,28,0.2413793103448276,88.0,225.0,39.111111111111114,11.6
546,1302,JE Emburey ,1980-1993,61,45.0,10.0,501.0,34,14.31,664.0,75.45,0.0,0.0,3.0,32,6,ENGLAND,1980,1993,13,0.7377049180327869,0.2222222222222222,11.133333333333333,0,34,0.0,0.0,0.06666666666666667,32,6,38,0.7111111111111111,0.13333333333333333,3.644444444444445,0.8444444444444444,164,0.3273453093812375,337.0,626.0,53.833865814696495,38.53846153846154
547,1303,NH Fairbrother ,1987-1999,75,71.0,18.0,2092.0,113,39.47,2903.0,72.06,1.0,16.0,2.0,140,20,ENGLAND,1987,1999,12,0.9466666666666667,0.2535211267605634,29.464788732394368,0,113,0.014084507042253521,0.22535211267605634,0.028169014084507043,140,20,160,1.971830985915493,0.28169014084507044,9.577464788732394,2.2535211267605635,680,0.32504780114722753,1412.0,2743.0,51.47648559970834,174.33333333333334
548,1304,ST Finn ,2011-2017,69,30.0,13.0,136.0,35,8.0,223.0,60.98,0.0,0.0,7.0,11,3,ENGLAND,2011,2017,6,0.43478260869565216,0.43333333333333335,4.533333333333333,0,35,0.0,0.0,0.23333333333333334,11,3,14,0.36666666666666664,0.1,2.0666666666666664,0.4666666666666667,62,0.45588235294117646,74.0,209.0,35.406698564593306,22.666666666666668
549,1306,KWR Fletcher ,1971-1982,24,22.0,3.0,757.0,131,39.84,1134.0,66.75,1.0,5.0,0.0,64+,6+,ENGLAND,1971,1982,11,0.9166666666666666,0.13636363636363635,34.40909090909091,0,131,0.045454545454545456,0.22727272727272727,0.0,64,6,70,2.909090909090909,0.2727272727272727,13.272727272727273,3.1818181818181817,292,0.3857331571994716,465.0,1064.0,43.703007518796994,68.81818181818181
